TIME,OPEN,HIGH ,LOW ,CLOSE
2019.09.02 11:17,1.09804,1.09825,1.09803,1.09824
2019.09.02 11:18,1.09824,1.0984,1.09819,1.09834
2019.09.02 11:19,1.09834,1.09837,1.098,1.09802
2019.09.02 11:20,1.09802,1.09805,1.09798,1.09803
2019.09.02 11:21,1.09803,1.09803,1.09795,1.09798
2019.09.02 11:22,1.09798,1.09836,1.09798,1.09835
2019.09.02 11:23,1.09835,1.09839,1.09827,1.09837
2019.09.02 11:24,1.09837,1.09838,1.09806,1.09822
2019.09.02 11:25,1.09821,1.09824,1.09812,1.09813
2019.09.02 11:26,1.09813,1.09813,1.098,1.09802
2019.09.02 11:27,1.09802,1.09804,1.09783,1.09787
2019.09.02 11:28,1.09787,1.09806,1.09787,1.09794
2019.09.02 11:29,1.09794,1.09796,1.09784,1.09784
2019.09.02 11:30,1.09784,1.09793,1.09783,1.09783
2019.09.02 11:31,1.09783,1.09787,1.09767,1.09773
2019.09.02 11:32,1.09773,1.09779,1.09773,1.09779
2019.09.02 11:33,1.09779,1.09779,1.09768,1.09769
2019.09.02 11:34,1.09769,1.0978,1.09768,1.09779
2019.09.02 11:35,1.09779,1.09801,1.09775,1.09794
2019.09.02 11:36,1.09795,1.09795,1.09771,1.09783
2019.09.02 11:37,1.09782,1.09784,1.09772,1.09778
2019.09.02 11:38,1.09777,1.09783,1.09771,1.09771
2019.09.02 11:39,1.09771,1.09782,1.09771,1.09779
2019.09.02 11:40,1.09779,1.098,1.09778,1.09793
2019.09.02 11:41,1.09793,1.09798,1.09791,1.09798
2019.09.02 11:42,1.09797,1.09804,1.09793,1.09799
2019.09.02 11:43,1.09799,1.09799,1.09792,1.09794
2019.09.02 11:44,1.09792,1.09803,1.09792,1.09803
2019.09.02 11:45,1.09803,1.09831,1.09798,1.09829
2019.09.02 11:46,1.09829,1.0983,1.0982,1.09826
2019.09.02 11:47,1.09826,1.09826,1.09802,1.0981
2019.09.02 11:48,1.09809,1.09811,1.09798,1.09801
2019.09.02 11:49,1.09801,1.09802,1.0978,1.0978
2019.09.02 11:50,1.0978,1.09787,1.09779,1.0978
2019.09.02 11:51,1.0978,1.09785,1.09779,1.0978
2019.09.02 11:52,1.0978,1.09784,1.09779,1.09779
2019.09.02 11:53,1.0978,1.09784,1.09773,1.09775
2019.09.02 11:54,1.09775,1.09776,1.09752,1.09755
2019.09.02 11:55,1.09755,1.09756,1.09701,1.09712
2019.09.02 11:56,1.09712,1.09724,1.09711,1.09721
2019.09.02 11:57,1.0972,1.09736,1.09719,1.09731
2019.09.02 11:58,1.09731,1.09731,1.09722,1.09725
2019.09.02 11:59,1.09725,1.09738,1.09723,1.09726
2019.09.02 12:00,1.09726,1.09736,1.09694,1.09698
2019.09.02 12:01,1.09698,1.09698,1.0967,1.09674
2019.09.02 12:02,1.09674,1.09679,1.09664,1.09674
2019.09.02 12:03,1.09674,1.09675,1.09658,1.09664
2019.09.02 12:04,1.09664,1.09672,1.09664,1.09669
2019.09.02 12:05,1.09669,1.09673,1.09663,1.0967
2019.09.02 12:06,1.0967,1.0967,1.09649,1.09654
2019.09.02 12:07,1.09653,1.09666,1.09643,1.09661
2019.09.02 12:08,1.09661,1.09696,1.09659,1.09693
2019.09.02 12:09,1.09694,1.09704,1.09689,1.09693
2019.09.02 12:10,1.09693,1.09697,1.0969,1.09696
2019.09.02 12:11,1.09696,1.0971,1.09691,1.09698
2019.09.02 12:12,1.09698,1.0971,1.09698,1.09706
2019.09.02 12:13,1.09707,1.09708,1.09689,1.0969
2019.09.02 12:14,1.0969,1.09695,1.09684,1.09688
2019.09.02 12:15,1.09688,1.09709,1.09684,1.09708
2019.09.02 12:16,1.09708,1.09711,1.09697,1.0971
2019.09.02 12:17,1.0971,1.09711,1.09692,1.09696
2019.09.02 12:18,1.09696,1.09697,1.09686,1.09696
2019.09.02 12:19,1.09696,1.097,1.09689,1.09696
2019.09.02 12:20,1.09696,1.09718,1.09696,1.09718
2019.09.02 12:21,1.09718,1.09726,1.09715,1.09723
2019.09.02 12:22,1.09723,1.09725,1.09708,1.09711
2019.09.02 12:23,1.09711,1.09729,1.09709,1.09726
2019.09.02 12:24,1.09726,1.09731,1.09722,1.09723
2019.09.02 12:25,1.09723,1.09733,1.0972,1.09726
2019.09.02 12:26,1.09726,1.09732,1.09719,1.09719
2019.09.02 12:27,1.0972,1.09729,1.0971,1.09716
2019.09.02 12:28,1.09716,1.09718,1.09694,1.09696
2019.09.02 12:29,1.09696,1.097,1.0968,1.0969
2019.09.02 12:30,1.0969,1.09699,1.09689,1.09696
2019.09.02 12:31,1.09696,1.09698,1.0969,1.09691
2019.09.02 12:32,1.09691,1.09694,1.09685,1.09688
2019.09.02 12:33,1.09688,1.09688,1.09669,1.09679
2019.09.02 12:34,1.09679,1.0968,1.0967,1.09676
2019.09.02 12:35,1.09676,1.09678,1.09661,1.09664
2019.09.02 12:36,1.09664,1.09665,1.09658,1.0966
2019.09.02 12:37,1.0966,1.09664,1.09585,1.09603
2019.09.02 12:38,1.09599,1.09623,1.09598,1.09606
2019.09.02 12:39,1.09606,1.09631,1.09606,1.09626
2019.09.02 12:40,1.09626,1.09632,1.09616,1.0962
2019.09.02 12:41,1.0962,1.09626,1.09617,1.09618
2019.09.02 12:42,1.09618,1.09626,1.09613,1.09622
2019.09.02 12:43,1.09622,1.09632,1.09614,1.09617
2019.09.02 12:44,1.09617,1.0962,1.09583,1.09583
2019.09.02 12:45,1.09585,1.09591,1.09579,1.09581
2019.09.02 12:46,1.09581,1.0959,1.09581,1.09588
2019.09.02 12:47,1.09588,1.0959,1.09581,1.09585
2019.09.02 12:48,1.09585,1.09588,1.0958,1.09583
2019.09.02 12:49,1.09583,1.09598,1.09583,1.09597
2019.09.02 12:50,1.09597,1.09599,1.09593,1.09596
2019.09.02 12:51,1.09597,1.09618,1.09597,1.09617
